epoch,loss,val_loss
0,0.033993373756238725,0.0012499505316372961
1,0.0009182208441779948,0.0007418762474844698
2,0.00054730969168304,0.0004111513095267583
3,0.0003877746580110397,0.0003166345303907292
4,0.00030241928096074843,0.0002843366638262523
5,0.0002568554189201677,0.0002364297871827148
6,0.00022045643853743968,0.00020893806857202434
7,0.00018870285943194175,0.00020183861146506389
8,0.00017284863716668042,0.00014912418657331728
9,0.00015504434220929398,0.00014736044147866778
10,0.00013967652402243402,0.00017631282349611866
11,0.00012743255995701475,0.00011346337483701063
12,0.00011948194674459955,0.00010705354696256109
13,0.00011133204692669096,0.0001272458395396825
14,0.00010645381776157592,0.00011575989519769791
15,9.72458627575179e-05,0.00010348064643039834
16,9.013343949845876e-05,0.00010338032730942359
17,8.977259600669641e-05,8.988513696749579e-05
18,8.508518901180651e-05,9.470250957747339e-05
19,8.337596143064729e-05,7.075258703480358e-05
20,7.542336656115368e-05,7.9965103068389e-05
21,7.59216140204444e-05,7.813679194441647e-05
22,7.361561186826293e-05,7.589978686155519e-05
23,6.937286362244777e-05,7.360598483501235e-05
24,6.808813090174226e-05,6.497721195046324e-05
25,6.5154536416685e-05,8.001619435162865e-05
26,6.538618720242084e-05,5.844975326908752e-05
27,6.365742965954269e-05,6.596064917175681e-05
28,6.37807298289772e-05,7.086587327648886e-05
29,6.043089315880934e-05,7.19711864076089e-05
30,5.8143401015513516e-05,6.597360317755373e-05
31,5.766694588828613e-05,5.9451986344356557e-05
32,5.7778809068622646e-05,5.140922500686429e-05
33,5.521908463151703e-05,8.199596129998099e-05
34,5.438184163040205e-05,6.62031969113741e-05
35,5.387966549733392e-05,6.667554254818241e-05
36,5.207612743106438e-05,5.7784666223597016e-05
37,5.17781559415198e-05,7.158989197705523e-05
38,5.2549798613199525e-05,5.6763253514873216e-05
39,5.102418139586007e-05,5.830819796756259e-05
40,4.922475922967351e-05,6.929135181053425e-05
41,5.068752322131331e-05,5.39262565325771e-05
42,4.759363437869979e-05,5.5896134144859386e-05
43,4.77235826224387e-05,5.9713781010941604e-05
44,4.672049225519004e-05,6.213209142515553e-05
45,4.630237036963081e-05,5.734529278015543e-05
46,4.671761772215177e-05,5.940763601756771e-05
47,4.611606484559161e-05,4.602577442710753e-05
48,4.382894029049567e-05,4.7291791524912696e-05
49,4.57134420184957e-05,4.7500843020316094e-05
50,4.3969301582365e-05,4.740634888548811e-05
51,4.520629037415347e-05,5.118888588185655e-05
52,4.332560868760993e-05,4.800498327313107e-05
53,4.7340430739950534e-05,5.4938054727244886e-05
54,4.3589754459389954e-05,6.057240490918048e-05
55,4.238622259663316e-05,5.4835502578498566e-05
56,4.2558956038192265e-05,6.445616363635054e-05
57,4.196784826945077e-05,5.5335586048386175e-05
58,4.017546931891047e-05,4.973702070856234e-05
59,4.251343791565887e-05,4.631598960258998e-05
60,4.1703754654918156e-05,4.3970769047518844e-05
61,4.1332568541747606e-05,4.028501633911219e-05
62,4.104854012666692e-05,4.9289694188701106e-05
63,3.995489061253465e-05,4.978223840225837e-05
64,3.887608600734893e-05,5.232312278167228e-05
65,3.884781505576029e-05,4.0744411535342806e-05
66,3.8321491870192405e-05,4.7517673774564176e-05
67,4.189098943015779e-05,4.816755395950167e-05
68,3.8580164668928775e-05,4.0557403945058465e-05
69,3.887136399953306e-05,5.0293957247049545e-05
70,3.8275996612355815e-05,4.4870820920550615e-05
71,3.8725763047295914e-05,4.0639083190399104e-05
72,3.7461467788943994e-05,3.9157722148956964e-05
73,3.880159631762581e-05,4.549291062176053e-05
74,3.74636051537891e-05,4.219849520268326e-05
75,3.785070339517915e-05,4.575293992274965e-05
76,3.8295891192774435e-05,4.306090604586643e-05
77,3.558359167300296e-05,3.999919991656497e-05
78,3.849270718092157e-05,4.682936632889323e-05
79,3.7406019457648655e-05,4.0659756423337966e-05
80,3.636658558662021e-05,4.9752466193240256e-05
81,3.718211718251041e-05,5.1922333641414296e-05
82,3.6855975668004246e-05,4.0439671465719584e-05
83,3.7016561907421416e-05,3.7429423700814367e-05
84,3.6010782025641674e-05,3.920182776710135e-05
85,3.5633568625144105e-05,4.154830316110747e-05
86,3.620090228878325e-05,4.6124104173941304e-05
87,3.447507921919168e-05,4.152555972723349e-05
88,3.5263509205378795e-05,4.205638105304388e-05
89,3.59437097472437e-05,3.711724387358117e-05
90,3.483396066485511e-05,4.0973367695187336e-05
91,3.5377560174083555e-05,4.9016215725714574e-05
92,3.476493459629637e-05,3.684261755552143e-05
93,3.394417648451054e-05,4.2602487656040464e-05
94,3.3897784926466554e-05,3.673381565022282e-05
95,3.415399106529549e-05,3.795701923991146e-05
96,3.4033853336268296e-05,3.6966656953154594e-05
97,3.451676427403072e-05,3.890938414770062e-05
98,3.412280575957993e-05,3.9347235642708255e-05
99,3.2461190573940255e-05,4.352721030045359e-05
100,3.342012669804717e-05,3.998540802058415e-05
101,3.3797737903569216e-05,3.639724189270055e-05
102,3.3288950892256256e-05,4.035276876493299e-05
103,3.321208275565368e-05,3.873574948556779e-05
104,3.261138596371893e-05,3.786863877394353e-05
105,3.248051658374606e-05,3.579867699954775e-05
106,3.350122880647177e-05,4.301419603507384e-05
107,3.259180376176118e-05,3.4954117500092255e-05
108,3.289118872999097e-05,4.282955677808786e-05
109,3.393330479184442e-05,4.0172323688238974e-05
110,3.075879689731664e-05,3.929456984224089e-05
111,3.205691903758634e-05,4.170919371063064e-05
112,3.218427180854633e-05,3.627370462709223e-05
113,3.228110989311972e-05,3.8769205584685554e-05
114,3.1977645542156096e-05,3.933859093194769e-05
115,3.255952687027275e-05,3.840337700239616e-05
116,3.1807306651217e-05,4.055527354466903e-05
117,3.202749363481416e-05,3.864995625008305e-05
118,3.222079607439809e-05,3.983744427387137e-05
119,3.251128453484853e-05,3.232010499232274e-05
120,3.125766237303651e-05,4.531278941612982e-05
121,3.193000646206201e-05,3.838821489807742e-05
122,3.1679788523888416e-05,3.84887169002468e-05
123,3.208164967873017e-05,3.5579713112383616e-05
124,3.11234860237164e-05,3.894530363140802e-05
125,3.096870802437479e-05,3.677908747704351e-05
126,3.1667999346609575e-05,3.78559667205991e-05
127,3.110063756366799e-05,3.5260706881672376e-05
128,3.060741716581106e-05,3.742609057553637e-05
129,3.084248437971837e-05,3.4683127369135035e-05
130,3.1160842211193086e-05,4.04104134941008e-05
131,3.1774705678344614e-05,3.779705480155826e-05
132,3.102708101778262e-05,3.610260757341166e-05
133,3.0667853819750236e-05,3.598118617446744e-05
134,3.062957697466118e-05,3.392205854652275e-05
135,3.116580624464404e-05,3.627611034062284e-05
136,2.9960290100916608e-05,3.502787442812405e-05
137,3.0476270158033003e-05,3.420081558033416e-05
138,2.976875091007969e-05,3.824640512902988e-05
139,3.0678876937599854e-05,3.72408968542004e-05
140,2.9899463937681505e-05,3.7904721611994315e-05
141,3.0212923584258532e-05,3.354125460646174e-05
142,3.0462900560905837e-05,3.4667535783228234e-05
143,2.9571605386990997e-05,3.899291666130012e-05
